ejecutado,archivo,fecha_corte,rubros_educacion,definitiva,comprometido,obligado,pagado,alertas
2026-09-14T09:07:53,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,16
2026-09-14T09:24:31,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,16
2026-09-14T09:25:09,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,16
2026-09-14T09:25:24,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,16
2026-09-14T09:26:05,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,24
2026-09-14T09:27:51,Presupuesto de egreso a 31_08_2026.xls,2026-08-31,130,217398575793,154836421044,95431347554,92084148888,24
2026-09-14T09:47:07,Presupuesto de egreso a 14_09_2026.xls,2026-09-14,130,217402552800,165464228374,106700998282,100386221313,23
2026-09-14T10:09:59,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,130,217398575793,134063202417,67752692776,64343213565,29
2026-09-14T11:29:20,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,130,217398575793,134063202417,67752692776,64343213565,29
2026-09-14T11:53:28,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,131,220235073837,135618689920,67752692776,64343213565,29
2026-09-14T14:12:04,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,140,229031088191,144414704274,76391279551,72981800340,29
2026-09-14T14:14:59,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,131,220235073837,135618689920,67752692776,64343213565,29
2026-09-14T14:17:57,Presupuesto de egreso a 15_07_2026.xls,2026-07-15,135,222281920357,138946546980,72478609760,69069130550,29
2026-09-16T11:50:01,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,16
2026-09-16T13:08:47,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T13:20:59,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T13:30:55,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T14:13:42,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T14:17:39,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T15:34:14,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T15:34:35,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
2026-09-16T15:58:11,Presupuesto de egreso a 15_09_2026.xls,2026-09-15,127,219806760754,167055210729,106736493134,100822528198,30
